Reference,Value,Package,Manufacturer,MPN,Description,Qty,Unit Cost
U1,nRF5340,WLCSP-95,Nordic Semiconductor,nRF5340-CLAA-R7,Dual-core BLE 5.3 SoC,1,$4.50
U2,AS7058,OLGA-14,ams OSRAM,AS7058-BEGT,3-channel PPG AFE,1,$2.80
U3,MLX90632,QFN-4,Melexis,MLX90632SLD-DCB-000-SP,Medical IR thermometer,1,$3.20
U4,BMA456,LGA-12,Bosch,BMA456,3-axis accelerometer,1,$1.10
U5,MX25U3235F,USON-8,Macronix,MX25U3235FZNI-10G,4MB QSPI NOR flash,1,$0.85
U6,MiCS-6814,TO-39,SGX Sensortech,MiCS-6814,MOX gas sensor (ketones),1,$6.50
U7,BQ25125,DSBGA-20,Texas Instruments,BQ25125YFFR,Battery charger + LDO,1,$1.65
U8,DRV2603,WLCSP-9,Texas Instruments,DRV2603YZFR,Haptic driver (LRA),1,$1.20
D1-D4,LED,0402,ams OSRAM,Various,PPG LEDs (G×2/R/IR),4,$0.35
PD1-PD3,Photodiode,0402,Vishay,VEMD5510CF,PPG photodiodes,3,$0.45
BT1,22mAh,Custom,Varta,CP1254 (custom),3.7V LiPo ring battery,1,$3.80
L1,WPC Rx coil,Custom,TDK,WR332520-15M2,Qi wireless charging coil,1,$1.50
M1,Haptic LRA,4mm,TDK,PowerHap PL044.040.02.0,Linear resonant actuator,1,$2.00
ANT1,BLE antenna,Chip,Johanson,2450AT18D0100T,2.4 GHz chip antenna,1,$0.15
Y1,32MHz XTAL,1210,Abracon,ABM8G-32.000MHZ,Main crystal,1,$0.30
Y2,32.768kHz,1210,Abracon,ABS05-32.768KHZ,RTC crystal,1,$0.25
C1-C20,Various,0201/0402,Murata,Various,Decoupling capacitors,20,$0.01
R1-R15,Various,0201,Yageo,Various,Resistors,15,$0.005
